name,date,country_id:id,vocative
Ema,2015-01-30,base.sk,Emo
Emanuel,2015-03-26,base.sk,Emanuele
Emil,2015-01-31,base.sk,Emile
Emília,2015-11-24,base.sk,Emílio
Erik,2015-02-02,base.sk,Eriku
Ernest,2015-01-12,base.sk,Ernesti
Ervín,2015-04-21,base.sk,Ervíne
Estera,2015-04-12,base.sk,Estero
Etela,2015-02-22,base.sk,Etelo
Eugen,2015-11-18,base.sk,Eugene
Eugénia,2015-09-18,base.sk,Eugénio
Fedor,2015-04-15,base.sk,Fedore
Ferdinand,2015-05-30,base.sk,Ferdinande
Filip,2015-08-23,base.sk,Filipe
Filoména,2015-12-27,base.sk,Filoméno
Florián,2015-05-04,base.sk,Floriáne
František,2015-10-04,base.sk,Františku
Františka,2015-03-09,base.sk,Františko
Frederik,2015-02-25,base.sk,Frederiku
Fridrich,2015-03-05,base.sk,Fridricha
Félix,2015-11-20,base.sk,Félixi
Gabriel,2015-03-24,base.sk,Gabriele
Gabriela,2015-02-10,base.sk,Gabrielo
Galina,2015-05-03,base.sk,Galino
Gašpar,2015-01-29,base.sk,Gašpare
Gejza,2015-01-25,base.sk,Gejzo
Gertrúda,2015-05-19,base.sk,Gertrúdo
Gizela,2015-05-17,base.sk,Gizelo
Gregor,2015-03-12,base.sk,Gregore
Gustáv,2015-08-02,base.sk,Gustáve
Hedviga,2015-10-17,base.sk,Hedvigo
Helena,2015-08-18,base.sk,Heleno
Henrich,2015-07-15,base.sk,Henricha
Henrieta,2015-11-28,base.sk,Henrieto
Hermína,2015-05-06,base.sk,Hermíno
Hilda,2015-12-11,base.sk,Hildo
Hortenzia,2015-08-05,base.sk,Hortenzio
Hubert,2015-11-03,base.sk,Huberte
Hugo,2015-04-01,base.sk,Huga
Ida Liana,2015-02-16,base.sk,Ido Liano
Ignác,2015-07-31,base.sk,Ignáci
Igor,2015-04-10,base.sk,Igore
Imrich,2015-11-05,base.sk,Imricha
Ingrida,2015-05-08,base.sk,Ingrido
Irena,2015-04-06,base.sk,Ireno
Irma,2015-11-14,base.sk,Irmo
Ivan,2015-07-08,base.sk,Ivane
Ivana,2015-12-28,base.sk,Ivano
Iveta,2015-05-27,base.sk,Iveto
Ivica,2015-12-15,base.sk,Ivico
Izabela,2015-12-09,base.sk,Izabelo
Izidor,2015-04-04,base.sk,Izidore
Iľja,2015-07-20,base.sk,Iľjo
Jakub,2015-07-25,base.sk,Jakube
Jana,2015-08-21,base.sk,Jano
Jarmila,2015-04-28,base.sk,Jarmilo
Jarolím,2015-09-30,base.sk,Jarolíme
Jaromír,2015-02-18,base.sk,Jaromíre
Jaroslav,2015-04-27,base.sk,Jaroslave
